t,soc_batt,V_batt,soc_fgic,V_fgic
0.000000,1.000000,4.200000,0.500000,4.200000
0.250000,0.999826,4.116219,0.503890,4.115828
0.500000,0.999653,4.114503,0.456202,4.114463
0.750000,0.999479,4.112848,0.522008,4.112595
1.000000,0.999306,4.111251,0.502471,4.111655
1.250000,0.999132,4.109712,0.511004,4.109665
1.500000,0.998958,4.108228,0.520250,4.108564
1.750000,0.998785,4.106796,0.528714,4.106760
2.000000,0.998611,4.105415,0.537537,4.105632
2.250000,0.998437,4.104082,0.545482,4.103662
2.500000,0.998264,4.102796,0.554044,4.102666
2.750000,0.998090,4.101556,0.556922,4.101367
3.000000,0.997917,4.100358,0.564832,4.100075
3.250000,0.997743,4.099203,0.572856,4.099054
3.500000,0.997569,4.098087,0.581074,4.098431
3.750000,0.997396,4.097010,0.588258,4.096691
4.000000,0.997222,4.095970,0.595812,4.095590
4.250000,0.997049,4.094966,0.603448,4.094731
4.500000,0.996875,4.093997,0.627196,4.094070
4.750000,0.996701,4.093060,0.634285,4.093448
5.000000,0.996528,4.092155,0.640545,4.092025
5.250000,0.996354,4.091281,0.647436,4.091548
5.500000,0.996181,4.090436,0.654030,4.090805
5.750000,0.996007,4.089620,0.656988,4.089215
6.000000,0.995833,4.088830,0.663234,4.088346
6.250000,0.995660,4.088067,0.669994,4.088202
6.500000,0.995486,4.087330,0.675934,4.087111
6.750000,0.995312,4.086616,0.682059,4.086358
7.000000,0.995139,4.085926,0.688534,4.086152
7.250000,0.994965,4.085258,0.694105,4.084909
7.500000,0.994792,4.084612,0.700242,4.084517
7.750000,0.994618,4.083987,0.698521,4.083648
8.000000,0.994444,4.083381,0.704714,4.083400
8.250000,0.994271,4.082795,0.711993,4.083222
8.500000,0.994097,4.082228,0.718442,4.082351
8.750000,0.993924,4.081678,0.724828,4.081679
9.000000,0.993750,4.081145,0.731586,4.081648
9.250000,0.993576,4.080629,0.737676,4.081084
9.500000,0.993403,4.080128,0.743523,4.080440
9.750000,0.993229,4.079643,0.748855,4.079423
10.000000,0.993056,4.079173,0.754621,4.079103
10.250000,0.992882,4.078717,0.757508,4.078838
10.500000,0.992708,4.078274,0.762478,4.077931
10.750000,0.992535,4.077844,0.767870,4.077586
