t,V_batt,V_fgic
0.000000,4.200000,4.200000
0.250000,4.116219,4.116466
0.500000,4.114503,4.114727
0.750000,4.112848,4.112668
1.000000,4.111251,4.111569
1.250000,4.109712,4.109283
1.500000,4.108228,4.108677
1.750000,4.106796,4.106526
2.000000,4.105415,4.105217
2.250000,4.104082,4.104350
2.500000,4.102796,4.103278
2.750000,4.101556,4.101769
3.000000,4.100358,4.100265
3.250000,4.099203,4.099364
3.500000,4.098087,4.098392
3.750000,4.097010,4.097345
4.000000,4.095970,4.096056
4.250000,4.094966,4.094514
4.500000,4.093997,4.093764
4.750000,4.093060,4.093015
5.000000,4.092155,4.092327
5.250000,4.091281,4.091060
5.500000,4.090436,4.090796
5.750000,4.089620,4.089789
6.000000,4.088830,4.088690
6.250000,4.088067,4.087885
6.500000,4.087330,4.087003
6.750000,4.086616,4.086262
7.000000,4.085926,4.086291
7.250000,4.085258,4.085689
7.500000,4.084612,4.085072
7.750000,4.083987,4.084360
8.000000,4.083381,4.083287
8.250000,4.082795,4.082568
8.500000,4.082228,4.082512
8.750000,4.081678,4.081926
9.000000,4.081145,4.080870
9.250000,4.080629,4.080283
9.500000,4.080128,4.080384
9.750000,4.079643,4.079465
10.000000,4.079173,4.079284
10.250000,4.078717,4.078811
10.500000,4.078274,4.078750
10.750000,4.077844,4.077497
11.000000,4.077427,4.077703
11.250000,4.077022,4.077162
11.500000,4.076629,4.076700
11.750000,4.076247,4.075891
12.000000,4.075876,4.075773
12.250000,4.075515,4.075603
12.500000,4.075164,4.074826
12.750000,4.074822,4.075104
13.000000,4.074490,4.074706
13.250000,4.074167,4.074482
13.500000,4.073852,4.074090
13.750000,4.073545,4.073880
14.000000,4.073247,4.073159
14.250000,4.072956,4.073090
14.500000,4.072672,4.072808
14.750000,4.072395,4.072169
15.000000,4.072126,4.072094
15.250000,4.071862,4.071533
15.500000,4.071605,4.071348
15.750000,4.071354,4.070935
16.000000,4.071109,4.071557
16.250000,4.070869,4.070987
16.500000,4.070635,4.070964
16.750000,4.070406,4.070702
17.000000,4.070182,4.070344
17.250000,4.069963,4.069636
17.500000,4.069748,4.069890
17.750000,4.069538,4.069705
18.000000,4.069332,4.069667
18.250000,4.069130,4.068741
18.500000,4.068932,4.069071
18.750000,4.068738,4.068422
19.000000,4.068548,4.068423
19.250000,4.068361,4.068635
19.500000,4.068177,4.068192
19.750000,4.067997,4.068480
20.000000,4.067820,4.068077
20.250000,4.067646,4.068136
20.500000,4.067474,4.067429
20.750000,4.067306,4.067661
21.000000,4.067140,4.067638
21.250000,4.066977,4.067088
21.500000,4.066816,4.066837
21.750000,4.066658,4.066286
22.000000,4.066502,4.066059
22.250000,4.066348,4.066783
22.500000,4.066197,4.065719
22.750000,4.066047,4.066327
23.000000,4.065900,4.065767
23.250000,4.065754,4.065271
23.500000,4.065610,4.065911
23.750000,4.065468,4.065623
24.000000,4.065328,4.065016
24.250000,4.065189,4.064908
24.500000,4.065052,4.065085
