t,I_batt,Tau_batt,Tau_fgic,C1_batt,C1_fgic
0.000000,0.000000,6.600000,6.600000,1500.000000,1500.000000
0.250000,2.000000,6.600090,6.649209,1500.138889,3494.939479
0.500000,2.000000,6.600180,6.647461,1500.277788,3484.036157
0.750000,2.000000,6.600270,6.628227,1500.416687,3393.094097
1.000000,2.000000,6.600360,6.600859,1500.555587,3302.535337
1.250000,2.000000,6.600450,6.569443,1500.694486,3221.583968
1.500000,2.000000,6.600540,6.541071,1500.833385,3159.810433
1.750000,2.000000,6.600630,6.503518,1500.972285,3088.408889
2.000000,2.000000,6.600719,6.379176,1501.111184,2898.958668
2.250000,2.000000,6.600809,6.346852,1501.250083,2857.098243
2.500000,2.000000,6.600898,6.313407,1501.388983,2815.985864
2.750000,2.000000,6.600987,6.279365,1501.527882,2776.127396
3.000000,2.000000,6.601076,6.245478,1501.666781,2738.174153
3.250000,2.000000,6.601165,6.210981,1501.805681,2697.599020
3.500000,2.000000,6.601254,6.227838,1501.944580,2648.934447
3.750000,2.000000,6.601343,6.238959,1502.083479,2605.143244
4.000000,2.000000,6.601432,6.246095,1502.222379,2562.554715
4.250000,2.000000,6.601521,6.249329,1502.361278,2525.964284
4.500000,2.000000,6.601609,6.249860,1502.500177,2488.262956
4.750000,2.000000,6.601698,6.248074,1502.639077,2456.191555
5.000000,2.000000,6.601786,6.243565,1502.777976,2419.851746
5.250000,2.000000,6.601875,6.237455,1502.916875,2388.063415
5.500000,2.000000,6.601963,6.228913,1503.055775,2354.848571
5.750000,2.000000,6.602051,6.219551,1503.194674,2325.566178
6.000000,2.000000,6.602139,6.211714,1503.333573,2297.762657
6.250000,2.000000,6.602227,6.255637,1503.472472,2229.152639
6.500000,2.000000,6.602315,6.269197,1503.611372,2201.827964
6.750000,2.000000,6.602402,6.278689,1503.750271,2179.306507
7.000000,2.000000,6.602490,6.286547,1503.889170,2157.143731
7.250000,2.000000,6.602577,6.292545,1504.028070,2136.477845
7.500000,2.000000,6.602665,6.297736,1504.166969,2113.367173
7.750000,2.000000,6.602752,6.304707,1504.305868,2096.101938
8.000000,2.000000,6.602839,6.353796,1504.444768,2051.250780
8.250000,2.000000,6.602927,6.370304,1504.583667,2034.245309
8.500000,2.000000,6.603014,6.381512,1504.722566,2021.958829
8.750000,2.000000,6.603101,6.394642,1504.861466,2006.638994
9.000000,2.000000,6.603187,6.405917,1505.000365,1992.511148
9.250000,2.000000,6.603274,6.416335,1505.139264,1978.467954
9.500000,2.000000,6.603361,6.424472,1505.278164,1966.676483
9.750000,2.000000,6.603447,6.432785,1505.417063,1953.699607
10.000000,2.000000,6.603534,6.439396,1505.555962,1942.536647
10.250000,2.000000,6.603620,6.445715,1505.694861,1930.981427
10.500000,2.000000,6.603707,6.452402,1505.833761,1917.522579
10.750000,2.000000,6.603793,6.456738,1505.972660,1907.898216
11.000000,2.000000,6.603879,6.466942,1506.111559,1894.857662
11.250000,2.000000,6.603965,6.488518,1506.250459,1878.024070
11.500000,2.000000,6.604051,6.496975,1506.389358,1871.104785
11.750000,2.000000,6.604136,6.506468,1506.528257,1863.094193
12.000000,2.000000,6.604222,6.517688,1506.667157,1853.258274
12.250000,2.000000,6.604308,6.526036,1506.806056,1845.650450
12.500000,2.000000,6.604393,6.532554,1506.944955,1839.516833
12.750000,2.000000,6.604479,6.541968,1507.083855,1830.328313
13.000000,2.000000,6.604564,6.548115,1507.222754,1824.091754
13.250000,2.000000,6.604649,6.553546,1507.361653,1818.408691
13.500000,2.000000,6.604734,6.559963,1507.500552,1811.467335
13.750000,2.000000,6.604819,6.565849,1507.639452,1804.858134
14.000000,2.000000,6.604904,6.571597,1507.778351,1798.153973
14.250000,2.000000,6.604989,6.576963,1507.917250,1791.644943
14.500000,2.000000,6.605074,6.581265,1508.056150,1786.229052
14.750000,2.000000,6.605158,6.585660,1508.195049,1780.497545
15.000000,2.000000,6.605243,6.590661,1508.333948,1773.697379
15.250000,2.000000,6.605327,6.594267,1508.472848,1768.584858
15.500000,2.000000,6.605412,6.598448,1508.611747,1762.412407
15.750000,2.000000,6.605496,6.601919,1508.750646,1757.058315
16.000000,2.000000,6.605580,6.604565,1508.889546,1752.820560
16.250000,2.000000,6.605664,6.606631,1509.028445,1749.407770
16.500000,2.000000,6.605748,6.610412,1509.167344,1742.894383
16.750000,2.000000,6.605832,6.612478,1509.306243,1739.171332
17.000000,2.000000,6.605916,6.615553,1509.445143,1733.380239
17.250000,2.000000,6.606000,6.617644,1509.584042,1729.248873
17.500000,2.000000,6.606083,6.619651,1509.722941,1725.114673
17.750000,2.000000,6.606167,6.621923,1509.861841,1720.208481
18.000000,2.000000,6.606250,6.623505,1510.000740,1716.625759
18.250000,2.000000,6.606333,6.625338,1510.139639,1712.285236
18.500000,2.000000,6.606416,6.626617,1510.278539,1709.114760
18.750000,2.000000,6.606500,6.628317,1510.417438,1704.690060
19.000000,2.000000,6.606583,6.629154,1510.556337,1702.415215
19.250000,2.000000,6.606665,6.630167,1510.695237,1699.559815
19.500000,2.000000,6.606748,6.628525,1510.834136,1704.133002
19.750000,2.000000,6.606831,6.631654,1510.973035,1695.141658
20.000000,2.000000,6.606914,6.631171,1511.111934,1696.606494
20.250000,2.000000,6.606996,6.632182,1511.250834,1693.497673
20.500000,2.000000,6.607078,6.633176,1511.389733,1690.285836
20.750000,2.000000,6.607161,6.633878,1511.528632,1687.907909
21.000000,2.000000,6.607243,6.635060,1511.667532,1683.667516
21.250000,2.000000,6.607325,6.635551,1511.806431,1681.801724
21.500000,2.000000,6.607407,6.636182,1511.945330,1679.305257
21.750000,2.000000,6.607489,6.637173,1512.084230,1675.104307
22.000000,2.000000,6.607571,6.637673,1512.223129,1672.826523
22.250000,2.000000,6.607653,6.638413,1512.362028,1669.212636
22.500000,2.000000,6.607734,6.638518,1512.500927,1668.672692
22.750000,2.000000,6.607816,6.639324,1512.639827,1664.244596
23.000000,2.000000,6.607897,6.639666,1512.778726,1662.189905
23.250000,2.000000,6.607979,6.639958,1512.917625,1660.317133
23.500000,2.000000,6.608060,6.640549,1513.056525,1656.122180
23.750000,2.000000,6.608141,6.640896,1513.195424,1653.311450
24.000000,2.000000,6.608222,6.641050,1513.334323,1651.945539
24.250000,2.000000,6.608303,6.641238,1513.473223,1650.160932
24.500000,2.000000,6.608384,6.641527,1513.612122,1647.040480
24.750000,2.000000,6.608465,6.641829,1513.751021,1643.021195
25.000000,2.000000,6.608545,6.641911,1513.889920,1641.675802
25.250000,2.000000,6.608626,6.642075,1514.028820,1638.395632
25.500000,2.000000,6.608707,6.642160,1514.167719,1636.027238
25.750000,2.000000,6.608787,6.642183,1514.306618,1635.227097
26.000000,2.000000,6.608867,6.642249,1514.445518,1630.450451
26.250000,2.000000,6.608947,6.642241,1514.584417,1628.179525
26.500000,2.000000,6.609028,6.642244,1514.723316,1628.560562
26.750000,2.000000,6.609108,6.642173,1514.862216,1624.478263
27.000000,2.000000,6.609187,6.642154,1515.001115,1623.853641
27.250000,2.000000,6.609267,6.642003,1515.140014,1620.104998
27.500000,2.000000,6.609347,6.641867,1515.278913,1617.670408
